0	"When Samson killed 1000 Philistines at Lehi what weapon did he use?"	"Jawbone of an ass"
1	"How old (years) was David when he was anointed King of Israel?"	30
2	"Aside from Peter and John, which disciple witnessed Jesus’ Transfiguration?"	"James"
3	"In Damascus, whose sight was restored by Ananias?"	"Saul"
4	"How many rivers were formed from the river that went out of Eden?"	4
5	"What is the name of the place where Jacob slept and dreamed of Jacob's Ladder?"	"Bethel"
6	"Who told Naaman to wash in the river Jordan 7 times in order to cure his leprosy?"	"Elisha"
7	"Who announced to Zachariah that his wife would bear a child to be named John the Baptist?"	"Angel Gabriel"
8	"Who said, '…as for me and my house, we will serve the Lord'?"	"Joshua"
9	"What does the name 'Emmanuel' mean?"	"God with us"
10	"God tested Abraham by telling him to offer his only son as a burnt offering. Who was that son?"	"Isaac"
11	"How many pieces of silver was Judas paid to betray Jesus?"	30
12	"Who personally baptized more people, Jesus or John the Baptist?"	"John the Baptist"
13	"Who witnessed Elijah being taken up to Heaven?"	"Elisha"
14	"Only 2 persons in the Bible are reported as being 'taken up to Heaven' (instead of dying). One is Elijah. Who is the other?"	"Enoch"
15	"Only 2 persons in the Bible are reported as being 'taken up to Heaven' (instead of dying). Who are they (in chronological order)?"	"Enoch and Elijah"
16	"Who hid Joshua’s spies from Jericho’s king?"	"Rahab"
17	"Moses died at age 120 and was buried in a valley of Moab. Who buried him?"	"The Lord"
18	"How many years were the Israelites in bondage in Egypt?"	430
19	"When they heard of the adversity that had befallen Job, how many of his friends came to comfort him?"	3
20	"Who is the only woman mentioned in Paul’s letter to Philemon?"	"Apphia"
21	"What part of the day did Christ embark on the boat from which He calmed the waters?"	"Evening"
22	"After his epiphany, how many years did Paul spend in Arabia before beginning his ministry?"	3
23	"How many troops did Sennacherib lose at the siege of Jerusalem?"	185000
24	"Who was the father of John the Baptist?"	"Zacharias"
25	"How many demons came out of Mary called Magdalene?"	7
26	"When the multitude came out to be baptized, how did John the Baptist characterize them?"	"Brood of vipers"
27	"From what tribe of Israel did the Apostle Paul come?"	"Benjamin"
28	"Who directed Paul to preach to the Gentiles?"	"Jesus"
29	"Who was the king of Israel when David slew Goliath?"	"Saul"
30	"To whom did God describe Job as a perfect and upright man?"	"Satan"
31	"Who said, “Silver and Gold have I none, but such as I have I give thee?”"	"Peter"
32	"James, the brother of John, was the first Apostle martyred. How was he killed?"	"With a sword"
33	"How old (in years) was Abraham when his son Isaac was born?"	100
34	"What was the title placed on Jesus’ cross?"	"King of the Jews"
35	"Who took his rod and stretched out his hand upon the waters of Egypt to turn them into blood?"	"Aaron"
36	"Where (city) were the disciples first called Christians?"	"Antioch"
37	"When Jesus struggled with his cross, who was forced to bear it for him?"	"Simon from Cyrene"
38	"According to the Book of Revelations, what needs to be done to receive the crown of life?"	"Faithful until death"
39	"What body of water, other than the red sea, was parted in the Bible?"	"Jordan river"
40	"How tall was Goliath?"	"6 cubits and a span"
41	"What did Paul say was the fulfillment of the Law?"	"Love"
42	"What is the shortest chapter in the Bible?"	"Psalm 117"
43	"There are only two perfect cubes described in Scripture. What is the one described in Revelation?"	"New Jerusalem"
44	"God parted the Red Sea so Moses and the Israelites could cross. What body of water did He part so Joshua and the Israelites could cross?"	"Jordan River"
45	"At Christ’s crucifixion what time of day did darkness come over the whole land?"	"Noon"
46	"At Christ’s crucifixion darkness come over the whole land. How long did it last?"	"3 hours"
47	"How many persons were sealed as 'servants of our God on their forehead'?"	"144,000"
48	"What is the name of the City of God?"	"New Jerusalem"
49	"Who was the father of David?"	"Jesse"
50	"To which king did Isaac hide his spousal relationship with Rebecca by claiming she was his sister?"	"Abimelech"
51	"3 named women found Christ’s tomb open and empty: Mary Magdalene, Mary the mother of James, and _____?"	"Joanna"
52	"3 named women found Christ’s tomb open and empty: Joanna, Mary the mother of James, and _____?"	"Mary Magdalene"
53	"3 named women found Christ’s tomb open and empty: Mary Magdalene, Joanna, and _____?"	"Mary"
54	"To which tribe of Israel did Moses belong?"	"Levi"
55	"To what land did Moses flee after killing the Egyptian soldier?"	"Midian"
56	"Christ’s first miracle was turning water into wine. Where did this occur?"	"Cana of Galilee"
57	"Sarah was Abraham’s first wife. Who was his second?"	"Keturah"
58	"What relic did Moses remove from Egypt at the time of the Exodus?"	"Bones of Joseph"
59	"How old was Abraham when he was circumcised?"	99
60	"After Christ’s triumphal entrance into Jerusalem and after visiting the temple, where did he spend the night?"	"Bethany"
